Банк;Финансовый рейтинг;Название вклада;Ставка (%);Минимальная сумма вклада (руб);Максимальная сумма вклада (руб);Минимальный срок вклада (дни);Максимальный срок вклада (дни);Возможность пополнения;Возможность расторжения;Частичное снятие;Выплата процентов;Капитализация;Возможность пролонгации;Условия снятия;Условия пополнения;Особые условия;Ссылка
ПАО «АК БАРС» БАНК;19;Просто накопить;4.70;10000;5000000;720;;возможно, но есть ограничения;на льготных условиях;невозможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['максимальная сумма пополнения - 5-кратный размер величины первоначального взноса за каждые из периодов сроком в 31 календарный день'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/16481/
ПАО «АК БАРС» БАНК;19;Просто преумножить;3.30;1000000;;91;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Просто преумножить;3.60;1000000;;181;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Просто преумножить;3.80;1000000;;370;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Просто преумножить;4.20;1000000;;720;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Просто преумножить;3.50;2500000;;91;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Просто преумножить;3.80;2500000;;181;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Просто преумножить;4.00;2500000;;370;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Просто преумножить;4.40;2500000;;720;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Просто преумножить;3.70;3500000;5000000;91;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Просто преумножить;4.00;3500000;5000000;181;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Просто преумножить;4.20;3500000;5000000;370;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Просто преумножить;4.60;3500000;5000000;720;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['иные - при пополнении процентная ставка соответствует новому суммовому диапазону'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/15526/
ПАО «АК БАРС» БАНК;19;Я сам?!;4.10;10000;1500000;180;;возможно, но есть ограничения;по ставке до востребования;невозможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['максимальная сумма за каждые из периодов сроком в 31 календарный день, исчисление которых осуществляется с даты внесения первоначального взноса, составляет 5кратный размер величины первоначального взноса', 'при этом размер вклада после пополнения не должен превышать размер максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/19842/
ПАО «АК БАРС» БАНК;19;Я сам?!;4.30;10000;1500000;365;;возможно, но есть ограничения;по ставке до востребования;невозможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['максимальная сумма за каждые из периодов сроком в 31 календарный день, исчисление которых осуществляется с даты внесения первоначального взноса, составляет 5кратный размер величины первоначального взноса', 'при этом размер вклада после пополнения не должен превышать размер максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/19842/
ПАО «АК БАРС» БАНК;19;Просто управлять;3.30;10000;5000000;91;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['максимальная сумма пополнения - 5-кратный размер величины первоначального взноса за каждые из периодов сроком в 31 календарный день'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/16482/
ПАО «АК БАРС» БАНК;19;Просто управлять;3.60;10000;5000000;181;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['максимальная сумма пополнения - 5-кратный размер величины первоначального взноса за каждые из периодов сроком в 31 календарный день'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/16482/
ПАО «АК БАРС» БАНК;19;Просто управлять;3.80;10000;5000000;370;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['максимальная сумма пополнения - 5-кратный размер величины первоначального взноса за каждые из периодов сроком в 31 календарный день'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/16482/
ПАО «АК БАРС» БАНК;19;Просто управлять;4.20;10000;5000000;720;;возможно, но есть ограничения;на льготных условиях;возможно;в конце срока или ежемесячно на счёт банковской карты;нет;возможна;;['максимальная сумма пополнения - 5-кратный размер величины первоначального взноса за каждые из периодов сроком в 31 календарный день'];['по поручению вкладчика денежные средства в размере 0,50% от очередной суммы процентов, подлежащей выплате, могут быть перечислены в пользу благотворительного фонда «АК БАРС Созидание»'];https://www.banki.ru/products/deposits/deposit/16482/
ПАО «АК БАРС» БАНК;19;Просто поймать момент;2.55;10000;5000000;31;;нет;по ставке до востребования;невозможно;в конце срока на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/16483/
АО «НС Банк»;122;Инвестиционный;6.25;100000;;181;;нет;по ставке до востребования;невозможно;в конце срока;нет;нет данных;;;['для клиентов, оформивших полис инвестиционного страхования жизни полис ИСЖ на срок 3 года 5 лет с единовременной схемой оплаты страховых взносов в размере не менее 100 000 рублей', 'или полис накопительного страхования жизни полисНСЖ на срок 5 лет 10 лет с рассроченной схемой оплаты страховыхвзносов в размере не менее 25 000 руб в год', 'или договора доверительного управления ценными бумагами в рамках продукта Индивидуальный инвестиционный счет'];https://www.banki.ru/products/deposits/deposit/17530/
АО «НС Банк»;122;Удобный (на счет карты);5.00;100000;5000000;181;;нет;на льготных условиях;невозможно;ежемесячно на счёт банковской карты;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/17461/
АО «НС Банк»;122;Удобный (на счет карты);5.15;100000;5000000;367;;нет;на льготных условиях;невозможно;ежемесячно на счёт банковской карты;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/17461/
АО «НС Банк»;122;Сберегающий;4.00;10000;;31;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/12083/
АО «НС Банк»;122;Сберегающий;4.10;10000;;61;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/12083/
АО «НС Банк»;122;Сберегающий;4.50;10000;;91;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/12083/
АО «НС Банк»;122;Сберегающий;5.00;10000;;181;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/12083/
АО «НС Банк»;122;Сберегающий;5.00;10000;;367;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/12083/
АО «НС Банк»;122;НС Пенсионный;5.00;10000;;367;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения в течение первых 181 дня с даты заключения договора'];['открывается при предоставлении клиентом действующего пенсионного удостоверения или иных документов, подтверждающих право на получение пенсии'];https://www.banki.ru/products/deposits/deposit/14196/
АО «НС Банк»;122;Удобный (на текущий счет);4.70;100000;5000000;181;;нет;на льготных условиях;невозможно;ежемесячно на текущий счёт;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/18593/
АО «НС Банк»;122;Удобный (на текущий счет);4.85;100000;5000000;367;;нет;на льготных условиях;невозможно;ежемесячно на текущий счёт;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/18593/
АО «НС Банк»;122;Надежный;4.80;10000;;367;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения не позднее 30 дней до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/9787/
АО «НС Банк»;122;Максимальный комфорт;4.00;100000;;367;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения не позднее чем за 30 календарных дней до окончаниясрока вклада'];;https://www.banki.ru/products/deposits/deposit/14962/
АО «НС Банк»;122;Максимальный комфорт;4.25;300000;;367;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения не позднее чем за 30 календарных дней до окончаниясрока вклада'];;https://www.banki.ru/products/deposits/deposit/14962/
АО «НС Банк»;122;Максимальный комфорт;4.50;1000000;;367;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт или на счёт банковской карты;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения не позднее чем за 30 календарных дней до окончаниясрока вклада'];;https://www.banki.ru/products/deposits/deposit/14962/
АО «НС Банк»;122;Идеальная пара;3.00;10000;;367;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на счёт банковской карты;нет;невозможна;;['срок внесения пополнения не позднее, чем за 30 календарных дней до окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/20322/
АО «НС Банк»;122;Идеальная пара;3.25;50000;;367;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на счёт банковской карты;нет;невозможна;;['срок внесения пополнения не позднее, чем за 30 календарных дней до окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/20322/
АО «НС Банк»;122;Идеальная пара;3.50;100000;;367;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на счёт банковской карты;нет;невозможна;;['срок внесения пополнения не позднее, чем за 30 календарных дней до окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/20322/
АО КБ «ФорБанк»;22;Стратегия;6.00;100000;1000000;190;;нет;по ставке до востребования;возможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/20809/
АО КБ «ФорБанк»;22;Стратегия;6.25;100000;1000000;367;;нет;по ставке до востребования;возможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/20809/
АО КБ «ФорБанк»;22;Срочный накопительный+;3.00;1000;;91;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Срочный накопительный+;3.50;1000;;181;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Срочный накопительный+;4.00;1000;;271;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Срочный накопительный+;4.25;1000;;367;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Срочный накопительный+;4.00;1000;;550;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Срочный накопительный+;4.00;1000;;735;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Срочный накопительный+;3.50;1500000;30000000;91;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Срочный накопительный+;4.00;1500000;30000000;181;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Срочный накопительный+;4.25;1500000;30000000;271;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Срочный накопительный+;4.65;1500000;30000000;367;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Срочный накопительный+;4.10;1500000;30000000;550;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Срочный накопительный+;4.10;1500000;30000000;735;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;невозможна;;['срок внесения пополнения для срока 91 день  не предусмотрено', 'для всех остальных сроков  прекращается за 91 день до даты окончания срока вклада'];;https://www.banki.ru/products/deposits/deposit/15032/
АО КБ «ФорБанк»;22;Доход растет;4.52;30000;;367;;нет;на льготных условиях;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/20656/
АО КБ «ФорБанк»;22;Доход растет;4.59;1500000;30000000;367;;нет;на льготных условиях;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/20656/
АО КБ «ФорБанк»;22;Пенсионный универсальный;4.25;100;;367;;возможно;на льготных условиях;возможно;в конце срока;ежемесячно;возможна;;;;https://www.banki.ru/products/deposits/deposit/6374/
АО КБ «ФорБанк»;22;Пенсионный универсальный;4.50;1500000;30000000;367;;возможно;на льготных условиях;возможно;в конце срока;ежемесячно;возможна;;;;https://www.banki.ru/products/deposits/deposit/6374/
АО КБ «ФорБанк»;22;Стабильный+;4.00;10000;;735;;возможно, но есть ограничения;на льготных условиях;невозможно;ежеквартально на счёт банковской карты;ежеквартально по выбору клиента;невозможна;;['срок внесения пополнения прекращается за 91 день до даты окончания срока вклада'];"['вклад с ""лестничным"" начислением процентов (до 4,65% годовых)']";https://www.banki.ru/products/deposits/deposit/13937/
АО КБ «ФорБанк»;22;Стабильный+;4.20;1500000;30000000;735;;возможно, но есть ограничения;на льготных условиях;невозможно;ежеквартально на счёт банковской карты;ежеквартально по выбору клиента;невозможна;;['срок внесения пополнения прекращается за 91 день до даты окончания срока вклада'];"['вклад с ""лестничным"" начислением процентов (до 4,65% годовых)']";https://www.banki.ru/products/deposits/deposit/13937/
АО КБ «ФорБанк»;22;Удобный;2.75;30000;;91;;возможно;по ставке до востребования;возможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/6368/
АО КБ «ФорБанк»;22;Удобный;3.00;30000;;181;;возможно;по ставке до востребования;возможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/6368/
АО КБ «ФорБанк»;22;Удобный;3.50;30000;;271;;возможно;по ставке до востребования;возможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/6368/
АО КБ «ФорБанк»;22;Удобный;3.75;30000;;367;;возможно;по ставке до востребования;возможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/6368/
АО КБ «ФорБанк»;22;Удобный;3.00;1500000;30000000;91;;возможно;по ставке до востребования;возможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/6368/
АО КБ «ФорБанк»;22;Удобный;3.50;1500000;30000000;181;;возможно;по ставке до востребования;возможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/6368/
АО КБ «ФорБанк»;22;Удобный;3.75;1500000;30000000;271;;возможно;по ставке до востребования;возможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/6368/
АО КБ «ФорБанк»;22;Удобный;4.00;1500000;30000000;367;;возможно;по ставке до востребования;возможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/6368/
ООО КБЭР «Банк Казани»;169;Умные инвестиции;6.00;50000;;181;;нет;по ставке до востребования;возможно;ежемесячно;нет;нет данных;;;;https://www.banki.ru/products/deposits/deposit/19090/
ООО КБЭР «Банк Казани»;169;Умные инвестиции;6.00;50000;;367;;нет;по ставке до востребования;возможно;ежемесячно;нет;нет данных;;;;https://www.banki.ru/products/deposits/deposit/19090/
ООО КБЭР «Банк Казани»;169;Премиум;5.00;10000000;;181;;возможно, но есть ограничения;по ставке до востребования;невозможно;в конце срока;нет;возможна;;['минимальная сумма 1 000 рублей', 'для вкладов на 181  первые 90 дней', 'на 367 и 550 дней   первые 180 дней  срока действия  вклада'];;https://www.banki.ru/products/deposits/deposit/15471/
ООО КБЭР «Банк Казани»;169;Премиум;5.00;10000000;;367;;возможно, но есть ограничения;по ставке до востребования;невозможно;в конце срока;нет;возможна;;['минимальная сумма 1 000 рублей', 'для вкладов на 181  первые 90 дней', 'на 367 и 550 дней   первые 180 дней  срока действия  вклада'];;https://www.banki.ru/products/deposits/deposit/15471/
ООО КБЭР «Банк Казани»;169;Премиум;5.00;10000000;;550;;возможно, но есть ограничения;по ставке до востребования;невозможно;в конце срока;нет;возможна;;['минимальная сумма 1 000 рублей', 'для вкладов на 181  первые 90 дней', 'на 367 и 550 дней   первые 180 дней  срока действия  вклада'];;https://www.banki.ru/products/deposits/deposit/15471/
ООО КБЭР «Банк Казани»;169;ВИП - Миллениум;4.50;1000000;;367;;возможно, но есть ограничения;по ставке до востребования;возможно;в конце срока;нет;возможна;;['минимальная сумма срок внесения пополнения 100 000 рублей', 'первые 180 дней срока действия вклада'];;https://www.banki.ru/products/deposits/deposit/11009/
ООО КБЭР «Банк Казани»;169;Городской Пенсионный (в конце срока);2.75;1000;;31;;возможно, но есть ограничения;по ставке до востребования;невозможно;в конце срока;нет;возможна;;['минимальная сумма срок внесения пополнения иные 500 рублей', 'на 91 день   первые 30 дней', 'на 181 день  первые 90 дней', 'на 367, 550 и 730 дней  первые 180 дней срока действия вклада'];;https://www.banki.ru/products/deposits/deposit/1044/
ООО КБЭР «Банк Казани»;169;Городской Пенсионный (в конце срока);3.50;1000;;91;;возможно, но есть ограничения;по ставке до востребования;невозможно;в конце срока;нет;возможна;;['минимальная сумма срок внесения пополнения иные 500 рублей', 'на 91 день   первые 30 дней', 'на 181 день  первые 90 дней', 'на 367, 550 и 730 дней  первые 180 дней срока действия вклада'];;https://www.banki.ru/products/deposits/deposit/1044/
ООО КБЭР «Банк Казани»;169;Городской Пенсионный (в конце срока);3.75;1000;;181;;возможно, но есть ограничения;по ставке до востребования;невозможно;в конце срока;нет;возможна;;['минимальная сумма срок внесения пополнения иные 500 рублей', 'на 91 день   первые 30 дней', 'на 181 день  первые 90 дней', 'на 367, 550 и 730 дней  первые 180 дней срока действия вклада'];;https://www.banki.ru/products/deposits/deposit/1044/
ООО КБЭР «Банк Казани»;169;Городской Пенсионный (в конце срока);4.00;1000;;367;;возможно, но есть ограничения;по ставке до востребования;невозможно;в конце срока;нет;возможна;;['минимальная сумма срок внесения пополнения иные 500 рублей', 'на 91 день   первые 30 дней', 'на 181 день  первые 90 дней', 'на 367, 550 и 730 дней  первые 180 дней срока действия вклада'];;https://www.banki.ru/products/deposits/deposit/1044/
